jop_title,company_name,company_location,jop_exp,jop_num_exp,jop_skills
Senior Analyst - Insurance Operations,Mercer LLC,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Financial Analysis']"
Analyst - Ancillary Business Application,Sidra Medical and Research Center,"Doha, Qatar",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Analysis ', ' Information Technology (IT) ', ' Computer Science ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Microsoft Office']"
Senior Analyst (Vendor Management) – IT PMO & Partnerships,flydubai,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Financial Analysis']"
Analyst (Demand Management) – IT PMO & Partnerships,flydubai,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Analysis ', ' Information Technology (IT) ', ' Computer Science ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Microsoft Office']"
Power BI Developer,eVision,"New Cairo, Cairo, Egypt",Experienced,6 - 10 Yrs of Exp,"[' IT/Software Development ', ' BI ', ' Computer Science ', ' Database ', ' Information Technology (IT) ', ' Power BI ', ' Data Warehousing ', ' Analysis']"
Director of Medical Records,Career Raiser,"Abu Dhabi, United Arab Emirates",Not specified,None,"[' Operations/Management ', ' Medical/Healthcare ', ' Pharmaceutical ', ' Medical ', ' Healthcare ', ' Management ', ' Medicine ', ' Dentistry ', ' Hospital Management ', ' Pharmaceutical Science']"
App and Web developer,MFG,"Katameya, Cairo, Egypt",Experienced,2+ Yrs of Exp,"[' IT/Software Development ', ' Computer Science ', ' Data Entry ', ' Development ', ' Programming ', ' Software Engineering']"
Project Manager - Data Networks (ICT),SABA,"Heliopolis, Cairo, Egypt",Experienced,2 - 5 Yrs of Exp,"[' IT/Software Development ', ' Project/Program Management ', ' Engineering - Telecom/Technology ', ' Project Management ', ' Software Engineering ', ' Data Networks ', ' Networks ', ' PMP ', ' Microsoft Visio ', ' Smartdraw']"
Test Specialist - Data,eT3,"New Cairo, Cairo, Egypt",Experienced,2 - 4 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' ETL ', ' Agile Methodologies ', ' JIRA ', ' Microsoft TFS ', ' ALM ', ' SQL ', ' DWH']"
Business Systems Integration Manager,Mekdam Holding Group,"Doha, Qatar",Not specified,None,"[' Accounting/Finance ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Information Technology (IT) ', ' Computer Engineering ', ' Accounting ', ' Business ', ' ERP ', ' Finance']"
Senior Talend Architect,Sceel.io,"Maadi, Cairo, Egypt",Experienced,4 - 6 Yrs of Exp,"[' Engineering - Construction/Civil/Architecture ', ' Creative/Design/Art ', ' IT/Software Development ', ' Architect ', ' Architecture ', ' AutoCAD ', ' Big Data ', ' Communication ', ' Computer Science ', ' Design']"
Senior Analyst - Accounting,S.C. Johnson & Son Inc,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Financial Analysis']"
Lead of Project Engineering COMP3 (F-4322-Q)-2,Mekdam Holding Group,"Doha, Qatar",Not specified,None,"[' Engineering - Construction/Civil/Architecture ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' engineering ', ' information technology (it) ', ' computer science ', ' software development ', ' project ', ' projects ', ' data']"
Senior Inventory Analyst,Etihad Airways,"Abu Dhabi, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Financial Analysis']"
Senior Analyst - Business Application - Oracle Fusion,Sidra Medicine,"Doha, Qatar",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Financial Analysis']"
Senior Analyst,Professional Recruitment,"Riyadh, Saudi Arabia",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Financial Analysis']"
Senior SAP Security and GRC Consultant,Mekdam Holding Group,"Doha, Qatar",Not specified,None,"[' Accounting/Finance ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' SAP ', ' Computer Science ', ' ABAP ', ' Software Engineering ', ' ERP ', ' Java']"
Core Assurance COOPs - All KSA,PwC,"Riyadh, Saudi Arabia",Not specified,None,"[' Accounting/Finance ', ' IT/Software Development ', ' Analyst/Research ', ' Accounting ', ' Finance ', ' ACCA ', ' CPA ', ' Microsoft Office ', ' ACA ', ' Commerce']"
Senior Analyst - Financial Planning & Control,flydubai,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Financial Analysis']"
QUALITY ANALYST,King Faisal Specialist Hospital & Research Centre,"Riyadh, Saudi Arabia",Not specified,None,"[' Quality ', ' Analyst/Research ', ' Pharmaceutical ', ' Quality ', ' Quality Control ', ' Quality Assurance ', ' Pharmacy ', ' Analysis ', ' Science ', ' Computer Science']"
Presales Manager - Enterprise Business Solutions,Giza Arabia Systems,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Sales/Retail ', ' Engineering - Telecom/Technology ', ' Sales ', ' Information Technology (IT) ', ' Presales ', ' Sales Skills ', ' Engineering ', ' Computer Science ', ' Customer Service']"
Senior MIS Risk Analyst,Al Ahly capital holding,"Zamalek, Cairo, Egypt",Experienced,3 - 5 Yrs of Exp,"[' Banking ', ' Analyst/Research ', ' Analysis ', ' Data Analysis ', ' Computer Science ', ' Banking ', ' Risk ', ' Management ', ' information system ', ' business']"
safety and security supervisor,Alert International,"Riyadh, Saudi Arabia",Not specified,None,"[' IT/Software Development ', ' Quality ', ' Engineering - Telecom/Technology ', ' Security ', ' Engineering ', ' Computer Science ', ' Quality ', ' Information Technology (IT) ', ' Safety ', ' English']"
Data Engineer,LxT,"Agouza, Giza, Egypt",Experienced,1 - 3 Yrs of Exp,"[' IT/Software Development ', ' Computer Engineering ', ' Data Engineering ', ' Python ', ' SQL']"
